subject	group	condition	stimtype	context	videoname	trialrank	code	cue	response	rt	zoom
10	Novices	Compassion	Emotional	Not-responsible	22	1	102	NA	NA	NA	NA
10	Novices	Compassion	Emotional	Not-responsible	22	2	102	NA	NA	NA	NA
10	Novices	Compassion	Emotional	Not-responsible	22	3	103	Avoid	correct	585.4	out
10	Novices	Compassion	Emotional	Not-responsible	22	4	103	Avoid	correct	635.4	out
10	Novices	Compassion	Emotional	Not-responsible	24	1	103	Avoid	correct	436.6	out
10	Novices	Compassion	Emotional	Not-responsible	24	2	102	Approach	correct	1205.8	in
10	Novices	Compassion	Emotional	Not-responsible	24	3	103	Avoid	correct	517.7	out
10	Novices	Compassion	Emotional	Not-responsible	24	4	102	Approach	correct	826.2	in
10	Novices	Compassion	Emotional	Not-responsible	28	1	102	NA	NA	NA	NA
10	Novices	Compassion	Emotional	Not-responsible	28	2	103	NA	NA	NA	NA
10	Novices	Compassion	Emotional	Not-responsible	28	3	103	Avoid	correct	750.7	out
10	Novices	Compassion	Emotional	Not-responsible	28	4	102	Approach	correct	827.6	in
10	Novices	Compassion	Emotional	Not-responsible	33	1	103	Avoid	correct	651.1	out
10	Novices	Compassion	Emotional	Not-responsible	33	2	103	Avoid	correct	564.7	out
10	Novices	Compassion	Emotional	Not-responsible	33	3	102	Approach	correct	1092.7	in
10	Novices	Compassion	Emotional	Not-responsible	33	4	102	Approach	correct	1132	in
10	Novices	Compassion	Emotional	Not-responsible	34	1	102	Approach	correct	1029.9	in
10	Novices	Compassion	Emotional	Not-responsible	34	2	103	Avoid	correct	826.3	out
10	Novices	Compassion	Emotional	Not-responsible	34	3	103	Avoid	correct	769.1	out
10	Novices	Compassion	Emotional	Not-responsible	34	4	102	Approach	correct	1000.1	in
10	Novices	Compassion	Emotional	Responsible	11	1	101	Avoid	correct	764.7	out
10	Novices	Compassion	Emotional	Responsible	11	2	100	Approach	correct	773	in
10	Novices	Compassion	Emotional	Responsible	11	3	100	Approach	correct	848.8	in
10	Novices	Compassion	Emotional	Responsible	11	4	101	Avoid	correct	645.7	out
10	Novices	Compassion	Emotional	Responsible	17	1	100	Approach	correct	1000.1	in
10	Novices	Compassion	Emotional	Responsible	17	2	101	Avoid	correct	435.3	out
10	Novices	Compassion	Emotional	Responsible	17	3	101	Avoid	correct	1326.1	out
10	Novices	Compassion	Emotional	Responsible	17	4	100	Approach	correct	918.3	in
10	Novices	Compassion	Emotional	Responsible	29	1	101	Avoid	correct	1364.7	out
10	Novices	Compassion	Emotional	Responsible	29	2	100	Approach	incorrect	1005.5	out
10	Novices	Compassion	Emotional	Responsible	29	3	101	Avoid	correct	824.8	out
10	Novices	Compassion	Emotional	Responsible	29	4	100	Approach	correct	682.4	in
10	Novices	Compassion	Emotional	Responsible	6	1	101	Avoid	correct	859.1	out
10	Novices	Compassion	Emotional	Responsible	6	2	100	Approach	correct	853.7	in
10	Novices	Compassion	Emotional	Responsible	6	3	100	Approach	correct	966	in
10	Novices	Compassion	Emotional	Responsible	6	4	101	Avoid	correct	645.2	out
10	Novices	Compassion	Emotional	Responsible	9	1	100	Approach	correct	840.5	in
10	Novices	Compassion	Emotional	Responsible	9	2	101	Avoid	correct	1428.6	out
10	Novices	Compassion	Emotional	Responsible	9	3	101	Avoid	correct	486.1	out
10	Novices	Compassion	Emotional	Responsible	9	4	100	Approach	correct	364.8	in
10	Novices	Compassion	Neutral	Not-responsible	37	1	107	Avoid	correct	742.4	out
10	Novices	Compassion	Neutral	Not-responsible	37	2	107	Avoid	correct	835.4	out
10	Novices	Compassion	Neutral	Not-responsible	37	3	106	Approach	correct	888.1	in
10	Novices	Compassion	Neutral	Not-responsible	37	4	106	Approach	correct	1015.6	in
10	Novices	Compassion	Neutral	Not-responsible	43	1	106	NA	NA	NA	NA
10	Novices	Compassion	Neutral	Not-responsible	43	2	107	Avoid	NA	NA	NA
10	Novices	Compassion	Neutral	Not-responsible	43	3	107	Avoid	correct	1178.4	out
10	Novices	Compassion	Neutral	Not-responsible	43	4	107	Avoid	correct	628.9	out
10	Novices	Compassion	Neutral	Not-responsible	45	1	107	Avoid	correct	1054.5	out
10	Novices	Compassion	Neutral	Not-responsible	45	2	106	Approach	correct	787.9	in
10	Novices	Compassion	Neutral	Not-responsible	45	3	107	Avoid	correct	717.7	out
10	Novices	Compassion	Neutral	Not-responsible	45	4	107	Avoid	correct	814.1	out
10	Novices	Compassion	Neutral	Not-responsible	47	1	107	Avoid	correct	682.4	out
10	Novices	Compassion	Neutral	Not-responsible	47	2	106	Approach	correct	841	in
10	Novices	Compassion	Neutral	Not-responsible	47	3	106	Approach	correct	844.9	in
10	Novices	Compassion	Neutral	Not-responsible	47	4	106	Approach	correct	917.7	in
10	Novices	Compassion	Neutral	Not-responsible	50	1	106	Approach	correct	800	in
10	Novices	Compassion	Neutral	Not-responsible	50	2	107	Avoid	correct	741.6	out
10	Novices	Compassion	Neutral	Not-responsible	50	3	106	Approach	correct	738	in
10	Novices	Compassion	Neutral	Not-responsible	50	4	106	Approach	correct	717.6	in
10	Novices	Compassion	Neutral	Responsible	53	1	105	Avoid	correct	764.8	out
10	Novices	Compassion	Neutral	Responsible	53	2	105	Avoid	correct	548.8	out
10	Novices	Compassion	Neutral	Responsible	53	3	104	Approach	correct	917.7	in
10	Novices	Compassion	Neutral	Responsible	53	4	NA	NA	NA	NA	NA
10	Novices	Compassion	Neutral	Responsible	54	1	104	Approach	correct	1227.3	in
10	Novices	Compassion	Neutral	Responsible	54	2	105	Avoid	correct	619.5	out
10	Novices	Compassion	Neutral	Responsible	54	3	105	Avoid	correct	1208.8	out
10	Novices	Compassion	Neutral	Responsible	54	4	105	Avoid	correct	705.2	out
10	Novices	Compassion	Neutral	Responsible	57	1	105	Avoid	correct	482.4	out
10	Novices	Compassion	Neutral	Responsible	57	2	104	Approach	correct	894.3	in
10	Novices	Compassion	Neutral	Responsible	57	3	104	Approach	correct	830	in
10	Novices	Compassion	Neutral	Responsible	57	4	104	Approach	correct	709.9	in
10	Novices	Compassion	Neutral	Responsible	61	1	105	Avoid	correct	625	out
10	Novices	Compassion	Neutral	Responsible	61	2	105	Avoid	correct	823.8	out
10	Novices	Compassion	Neutral	Responsible	61	3	104	Approach	correct	850.8	in
10	Novices	Compassion	Neutral	Responsible	61	4	104	Approach	correct	870	in
10	Novices	Compassion	Neutral	Responsible	70	1	104	Approach	correct	1000.1	in
10	Novices	Compassion	Neutral	Responsible	70	2	105	Avoid	correct	607.5	out
10	Novices	Compassion	Neutral	Responsible	70	3	104	Approach	correct	443.3	in
10	Novices	Compassion	Neutral	Responsible	70	4	104	Approach	correct	464.3	in
10	Novices	Empathy	Emotional	Not-responsible	20	1	103	Avoid	incorrect	1184.3	in
10	Novices	Empathy	Emotional	Not-responsible	20	2	102	Approach	correct	688.8	in
10	Novices	Empathy	Emotional	Not-responsible	20	3	103	Avoid	correct	435.4	out
10	Novices	Empathy	Emotional	Not-responsible	20	4	102	Approach	correct	682.4	in
10	Novices	Empathy	Emotional	Not-responsible	30	1	102	Approach	incorrect	736.7	out
10	Novices	Empathy	Emotional	Not-responsible	30	2	103	Avoid	correct	739.5	out
10	Novices	Empathy	Emotional	Not-responsible	30	3	102	Approach	correct	488.8	in
10	Novices	Empathy	Emotional	Not-responsible	30	4	103	Avoid	NA	NA	NA
10	Novices	Empathy	Emotional	Not-responsible	35	1	102	Approach	incorrect	1491.8	out
10	Novices	Empathy	Emotional	Not-responsible	35	2	103	Avoid	correct	1235.8	out
10	Novices	Empathy	Emotional	Not-responsible	35	3	102	Approach	correct	505.1	in
10	Novices	Empathy	Emotional	Not-responsible	35	4	103	Avoid	correct	720.8	out
10	Novices	Empathy	Emotional	Not-responsible	36	1	103	Avoid	correct	641.3	out
10	Novices	Empathy	Emotional	Not-responsible	36	2	102	Approach	correct	707.1	in
10	Novices	Empathy	Emotional	Not-responsible	36	3	102	Approach	correct	800	in
10	Novices	Empathy	Emotional	Not-responsible	36	4	103	Avoid	correct	803.9	out
10	Novices	Empathy	Emotional	Responsible	1	1	100	Approach	correct	734.2	in
10	Novices	Empathy	Emotional	Responsible	1	2	100	Approach	correct	827.6	in
10	Novices	Empathy	Emotional	Responsible	1	3	101	Avoid	correct	692.2	out
10	Novices	Empathy	Emotional	Responsible	1	4	101	Avoid	correct	529.7	out
10	Novices	Empathy	Emotional	Responsible	10	1	101	NA	NA	NA	NA
10	Novices	Empathy	Emotional	Responsible	10	2	100	NA	NA	NA	NA
10	Novices	Empathy	Emotional	Responsible	10	3	101	Avoid	correct	1058.8	out
10	Novices	Empathy	Emotional	Responsible	10	4	100	Approach	correct	882.4	in
10	Novices	Empathy	Emotional	Responsible	15	1	101	Avoid	correct	600.5	out
10	Novices	Empathy	Emotional	Responsible	15	2	101	Avoid	correct	600.1	out
10	Novices	Empathy	Emotional	Responsible	15	3	100	Approach	correct	803.7	in
10	Novices	Empathy	Emotional	Responsible	15	4	100	Approach	correct	920.7	in
10	Novices	Empathy	Emotional	Responsible	18	1	100	Approach	correct	738.8	in
10	Novices	Empathy	Emotional	Responsible	18	2	100	Approach	correct	818.7	in
10	Novices	Empathy	Emotional	Responsible	18	3	101	Avoid	correct	375	out
10	Novices	Empathy	Emotional	Responsible	18	4	101	Avoid	correct	611.4	out
10	Novices	Empathy	Emotional	Responsible	3	1	100	Approach	correct	533.6	in
10	Novices	Empathy	Emotional	Responsible	3	2	100	Approach	incorrect	496.4	out
10	Novices	Empathy	Emotional	Responsible	3	3	101	Avoid	correct	775.1	out
10	Novices	Empathy	Emotional	Responsible	3	4	101	Avoid	correct	533.2	out
10	Novices	Empathy	Emotional	Responsible	5	1	101	Avoid	correct	735.8	out
10	Novices	Empathy	Emotional	Responsible	5	2	100	Approach	incorrect	1224	out
10	Novices	Empathy	Emotional	Responsible	5	3	100	Approach	correct	1043.2	in
10	Novices	Empathy	Emotional	Responsible	5	4	101	Avoid	correct	804.8	out
10	Novices	Empathy	Neutral	Not-responsible	46	1	106	Approach	correct	845.1	in
10	Novices	Empathy	Neutral	Not-responsible	46	2	107	Avoid	correct	936.2	out
10	Novices	Empathy	Neutral	Not-responsible	46	3	106	Approach	correct	835.3	in
10	Novices	Empathy	Neutral	Not-responsible	46	4	106	Approach	correct	841.8	in
10	Novices	Empathy	Neutral	Not-responsible	49	1	107	Avoid	correct	640.2	out
10	Novices	Empathy	Neutral	Not-responsible	49	2	107	Avoid	correct	691.2	out
10	Novices	Empathy	Neutral	Not-responsible	49	3	106	Approach	correct	1026.4	in
10	Novices	Empathy	Neutral	Not-responsible	49	4	107	Avoid	incorrect	619.2	in
10	Novices	Empathy	Neutral	Not-responsible	51	1	107	Avoid	correct	691.3	out
10	Novices	Empathy	Neutral	Not-responsible	51	2	106	Approach	correct	770.6	in
10	Novices	Empathy	Neutral	Not-responsible	51	3	107	Avoid	correct	401.1	out
10	Novices	Empathy	Neutral	Not-responsible	51	4	106	Approach	correct	764.7	in
10	Novices	Empathy	Neutral	Not-responsible	52	1	107	Avoid	correct	721	out
10	Novices	Empathy	Neutral	Not-responsible	52	2	106	Approach	correct	773.9	in
10	Novices	Empathy	Neutral	Not-responsible	52	3	107	Avoid	correct	518.3	out
10	Novices	Empathy	Neutral	Not-responsible	52	4	106	Approach	correct	783.6	in
10	Novices	Empathy	Neutral	Responsible	39	1	104	Approach	correct	964.8	in
10	Novices	Empathy	Neutral	Responsible	39	2	104	Approach	correct	717.8	in
10	Novices	Empathy	Neutral	Responsible	39	3	104	Approach	incorrect	721.8	out
10	Novices	Empathy	Neutral	Responsible	39	4	105	Avoid	correct	940.5	out
10	Novices	Empathy	Neutral	Responsible	55	1	105	Avoid	correct	953.5	out
10	Novices	Empathy	Neutral	Responsible	55	2	105	Avoid	correct	764.8	out
10	Novices	Empathy	Neutral	Responsible	55	3	105	Avoid	correct	811.5	out
10	Novices	Empathy	Neutral	Responsible	55	4	104	Approach	correct	1012.5	in
10	Novices	Empathy	Neutral	Responsible	62	1	104	Approach	correct	764.8	in
10	Novices	Empathy	Neutral	Responsible	62	2	104	Approach	correct	682.4	in
10	Novices	Empathy	Neutral	Responsible	62	3	104	Approach	correct	806.2	in
10	Novices	Empathy	Neutral	Responsible	62	4	105	Avoid	NA	NA	NA
10	Novices	Empathy	Neutral	Responsible	63	1	105	Avoid	incorrect	777.9	in
10	Novices	Empathy	Neutral	Responsible	63	2	105	Avoid	correct	981.9	out
10	Novices	Empathy	Neutral	Responsible	63	3	105	Avoid	correct	527	out
10	Novices	Empathy	Neutral	Responsible	63	4	105	Avoid	correct	431	out
10	Novices	Empathy	Neutral	Responsible	65	1	104	Approach	NA	NA	NA
10	Novices	Empathy	Neutral	Responsible	65	2	104	Approach	correct	804.4	in
10	Novices	Empathy	Neutral	Responsible	65	3	104	Approach	correct	663.7	in
10	Novices	Empathy	Neutral	Responsible	65	4	104	Approach	correct	686.5	in
10	Novices	Empathy	Neutral	Responsible	67	1	104	Approach	correct	717.7	in
10	Novices	Empathy	Neutral	Responsible	67	2	105	Avoid	incorrect	688.5	in
10	Novices	Empathy	Neutral	Responsible	67	3	105	Avoid	correct	671.4	out
10	Novices	Empathy	Neutral	Responsible	67	4	104	Approach	correct	1049.5	in
11	Novices	Compassion	Emotional	Not-responsible	22	1	102	NA	NA	NA	NA
11	Novices	Compassion	Emotional	Not-responsible	22	2	102	NA	NA	NA	NA
11	Novices	Compassion	Emotional	Not-responsible	22	3	103	Avoid	correct	614.4	out
11	Novices	Compassion	Emotional	Not-responsible	22	4	103	Avoid	correct	617.8	out
11	Novices	Compassion	Emotional	Not-responsible	34	1	102	Approach	correct	564.6	in
11	Novices	Compassion	Emotional	Not-responsible	34	2	103	Avoid	correct	550.6	out
