subject	group	condition	stimtype	context	videoname	valence	arousal	empathy	responsibility	deservingness	help	BIDR
4	Novices	Compassion	Emotional	Responsible	5	4	4	5	5	4	5	12
4	Novices	Compassion	Emotional	Responsible	10	3	6	6	6	4	NA	12
4	Novices	Compassion	Emotional	Responsible	3	2	7	6	6	7	5	12
4	Novices	Compassion	Emotional	Responsible	18	4	6	5	7	7	4	12
4	Novices	Compassion	Emotional	Responsible	15	3	7	6	6	5	6	12
4	Novices	Compassion	Emotional	Responsible	1	3	7	5	6	6	6	12
4	Novices	Empathy	Emotional	Responsible	9	7	6	6	6	3	NA	12
4	Novices	Empathy	Emotional	Responsible	11	7	7	7	8	8	1	12
4	Novices	Empathy	Emotional	Responsible	29	3	7	7	3	3	7	12
4	Novices	Empathy	Emotional	Responsible	17	2	3	2	8	8	1	12
4	Novices	Empathy	Emotional	Responsible	6	4	4	4	8	6	3	12
7	Novices	Compassion	Emotional	Responsible	5	3	4	3	6	5	4	12
7	Novices	Compassion	Emotional	Responsible	3	3	4	3	8	6	3	12
7	Novices	Compassion	Emotional	Responsible	6	3	3	2	8	8	3	12
7	Novices	Compassion	Emotional	Responsible	10	2	7	6	8	6	6	12
7	Novices	Compassion	Emotional	Responsible	17	3	7	2	8	8	1	12
7	Novices	Compassion	Emotional	Responsible	29	2	4	6	6	6	5	12
7	Novices	Empathy	Emotional	Responsible	11	2	8	8	8	8	3	12
7	Novices	Empathy	Emotional	Responsible	18	3	7	5	NA	3	6	12
7	Novices	Empathy	Emotional	Responsible	15	2	7	8	6	3	6	12
7	Novices	Empathy	Emotional	Responsible	1	2	6	7	3	2	NA	12
7	Novices	Empathy	Emotional	Responsible	9	2	6	7	6	7	3	12
10	Novices	Compassion	Emotional	Responsible	6	1	5	2	8	6	1	13
10	Novices	Compassion	Emotional	Responsible	9	1	4	2	8	6	NA	13
10	Novices	Compassion	Emotional	Responsible	11	1	3	1	8	8	1	13
10	Novices	Compassion	Emotional	Responsible	29	1	5	5	8	7	3	13
10	Novices	Compassion	Emotional	Responsible	17	1	3	2	8	8	2	13
10	Novices	Empathy	Emotional	Responsible	5	2	7	1	8	7	2	13
10	Novices	Empathy	Emotional	Responsible	10	1	8	5	7	6	3	13
10	Novices	Empathy	Emotional	Responsible	3	1	2	1	8	8	2	13
10	Novices	Empathy	Emotional	Responsible	18	2	8	6	3	NA	6	13
10	Novices	Empathy	Emotional	Responsible	15	1	4	3	8	8	1	13
10	Novices	Empathy	Emotional	Responsible	1	1	1	1	8	8	2	13
12	Novices	Compassion	Emotional	Responsible	36	3	5	6	2	2	5	21
12	Novices	Compassion	Emotional	Responsible	24	3	6	6	5	5	5	21
12	Novices	Compassion	Emotional	Responsible	30	2	6	6	6	5	NA	21
12	Novices	Compassion	Emotional	Responsible	20	3	5	5	6	5	NA	21
12	Novices	Empathy	Emotional	Responsible	22	3	5	3	7	6	NA	21
12	Novices	Empathy	Emotional	Responsible	35	2	6	7	NA	NA	5	21
12	Novices	Empathy	Emotional	Responsible	34	2	7	7	5	4	5	21
12	Novices	Empathy	Emotional	Responsible	33	1	7	7	8	6	NA	21
12	Novices	Empathy	Emotional	Responsible	28	3	5	5	5	5	5	21
16	Novices	Compassion	Emotional	Responsible	15	2	6	3	6	1	6	16
16	Novices	Compassion	Emotional	Responsible	18	2	5	6	NA	NA	6	16
16	Novices	Compassion	Emotional	Responsible	10	2	5	6	6	5	6	16
16	Novices	Compassion	Emotional	Responsible	17	2	6	6	7	7	1	16
16	Novices	Compassion	Emotional	Responsible	3	1	7	4	8	8	1	16
16	Novices	Empathy	Emotional	Responsible	6	2	8	7	6	6	6	16
16	Novices	Empathy	Emotional	Responsible	5	1	8	8	7	7	2	16
16	Novices	Empathy	Emotional	Responsible	11	1	8	7	8	8	1	16
16	Novices	Empathy	Emotional	Responsible	1	1	7	7	8	8	1	16
16	Novices	Empathy	Emotional	Responsible	9	3	3	3	8	6	6	16
17	Novices	Compassion	Emotional	Responsible	15	3	8	8	1	3	7	4
17	Novices	Compassion	Emotional	Responsible	18	3	7	7	3	1	7	4
17	Novices	Compassion	Emotional	Responsible	10	1	9	9	5	3	7	4
17	Novices	Compassion	Emotional	Responsible	17	4	7	7	5	3	6	4
17	Novices	Compassion	Emotional	Responsible	3	2	8	9	6	6	5	4
18	Novices	Compassion	Emotional	Responsible	6	2	3	2	7	NA	8	24
18	Novices	Compassion	Emotional	Responsible	9	1	3	4	8	8	1	24
18	Novices	Compassion	Emotional	Responsible	11	3	7	7	NA	NA	6	24
18	Novices	Compassion	Emotional	Responsible	29	1	7	2	3	1	6	24
18	Novices	Compassion	Emotional	Responsible	17	3	6	5	6	3	6	24
18	Novices	Empathy	Emotional	Responsible	5	4	6	6	3	NA	5	24
18	Novices	Empathy	Emotional	Responsible	10	2	7	7	7	NA	6	24
18	Novices	Empathy	Emotional	Responsible	3	2	7	7	NA	NA	5	24
18	Novices	Empathy	Emotional	Responsible	18	2	6	6	NA	1	5	24
18	Novices	Empathy	Emotional	Responsible	15	1	7	6	NA	1	7	24
18	Novices	Empathy	Emotional	Responsible	1	1	7	6	7	NA	6	24
19	Novices	Compassion	Emotional	Responsible	9	4	3	3	5	3	2	12
19	Novices	Compassion	Emotional	Responsible	11	3	6	6	1	1	1	12
19	Novices	Compassion	Emotional	Responsible	15	3	6	6	1	1	2	12
19	Novices	Compassion	Emotional	Responsible	1	4	6	4	NA	1	2	12
19	Novices	Compassion	Emotional	Responsible	18	5	5	4	2	1	1	12
19	Novices	Empathy	Emotional	Responsible	10	4	5	4	7	1	1	12
19	Novices	Empathy	Emotional	Responsible	3	6	5	5	8	NA	1	12
19	Novices	Empathy	Emotional	Responsible	17	5	3	4	6	5	1	12
19	Novices	Empathy	Emotional	Responsible	6	4	4	4	8	1	1	12
19	Novices	Empathy	Emotional	Responsible	5	5	5	4	6	1	1	12
22	Novices	Compassion	Emotional	Responsible	22	1	7	7	2	2	7	16
